InvoiceNo,Quantity,InvoiceDate,UnitPrice,Country,Discount,ShippingCost,Category,ShipmentProvider,WarehouseLocation,NetRevenue
713333,1,12/01/2020 14:00,97.76,Norway,0.4,29.28,Stationery,Royal Mail,Rome,58.656
217796,1,14/01/2020 17:00,26.49,United Kingdom,0.34,23.13,Furniture,UPS,Rome,17.4834
478480,1,15/01/2020 09:00,4.46,Netherlands,0.08,28.32,Apparel,DHL,Rome,4.1032
235230,1,7/02/2020 20:00,41.4,Sweden,0.5,20.78,Accessories,UPS,Rome,20.7
871954,1,12/02/2020 15:00,61.4,Italy,0.4,9.39,Stationery,UPS,Rome,36.84
182180,1,20/02/2020 20:00,44.58,France,0.34,21.03,Stationery,FedEx,Rome,29.4228
769078,1,28/02/2020 09:00,89.38,Germany,0.07,17.9,Stationery,FedEx,Rome,83.1234
113224,1,29/02/2020 07:00,45.62,Sweden,0.21,6.12,Stationery,FedEx,Rome,36.0398
503119,1,21/03/2020 19:00,1.89,Australia,0.05,20.99,Apparel,UPS,Rome,1.7955
244097,1,27/03/2020 04:00,58.64,France,0.48,13.47,Electronics,FedEx,Rome,30.4928
198511,1,3/04/2020 11:00,78.09,United Kingdom,0.32,17.98,Furniture,DHL,Rome,53.1012
614933,1,9/04/2020 07:00,88.49,Germany,0.39,21.18,Accessories,UPS,Rome,53.9789
728419,1,5/05/2020 02:00,13.38,France,0.11,15.15,Apparel,DHL,Rome,11.9082
109503,1,9/05/2020 22:00,23.47,Sweden,0.09,26.73,Accessories,FedEx,Rome,21.3577
470965,1,12/05/2020 21:00,21.17,Sweden,0.02,6.03,Accessories,FedEx,Rome,20.7466
507505,1,23/05/2020 10:00,4.8,Portugal,0.45,14.7,Stationery,UPS,Rome,2.64
335718,1,23/05/2020 16:00,65.35,Portugal,0.34,22.71,Apparel,DHL,Rome,43.131
707745,1,26/05/2020 01:00,82.25,Portugal,0.45,11.82,Accessories,UPS,Rome,45.2375
222775,1,29/05/2020 07:00,47.72,Germany,0.41,29.63,Accessories,UPS,Rome,28.1548
969807,1,12/06/2020 11:00,15.86,Portugal,0.01,14.7,Apparel,UPS,Rome,15.7014
250158,1,16/06/2020 07:00,69.8,Sweden,0.44,8.47,Apparel,FedEx,Rome,39.088
412727,1,18/06/2020 07:00,11.22,Australia,0.31,10.38,Furniture,FedEx,Rome,7.7418
144789,1,26/06/2020 05:00,12.8,United States,0.17,23.92,Apparel,UPS,Rome,10.624
244063,1,27/06/2020 11:00,33.09,Norway,0.33,23.29,Electronics,DHL,Rome,22.1703
158653,1,29/06/2020 20:00,5.49,Sweden,0.01,25.44,Stationery,UPS,Rome,5.4351
993416,1,14/07/2020 08:00,99.5,Netherlands,0.32,20.53,Furniture,Royal Mail,Rome,67.66
253484,1,27/07/2020 22:00,47.95,Spain,0.02,14,Furniture,FedEx,Rome,46.991
585001,1,12/08/2020 07:00,22.49,Germany,0.46,10.55,Stationery,DHL,Rome,12.1446
963675,1,16/08/2020 07:00,24.93,Norway,0.5,19.03,Furniture,FedEx,Rome,12.465
251426,1,25/09/2020 21:00,55.65,Spain,0.26,21.33,Stationery,DHL,Rome,41.181
611081,1,6/10/2020 23:00,36.09,Germany,0.33,12.38,Accessories,FedEx,Rome,24.1803
327203,1,11/10/2020 06:00,15.32,Sweden,0.3,23.75,Stationery,DHL,Rome,10.724
300417,1,20/10/2020 09:00,32.63,Italy,0.01,21.61,Accessories,Royal Mail,Rome,32.3037
651852,1,22/10/2020 07:00,19.88,Germany,0.17,10.88,Apparel,DHL,Rome,16.5004
442022,1,30/10/2020 13:00,5.71,Belgium,0.33,11.97,Stationery,Royal Mail,Rome,3.8257
542846,1,21/11/2020 13:00,47.45,Spain,0.44,29,Electronics,FedEx,Rome,26.572
283163,1,30/11/2020 13:00,88.35,Australia,0.02,7.34,Stationery,UPS,Rome,86.583
664174,1,13/12/2020 02:00,73.81,Portugal,0.08,12.4,Stationery,FedEx,Rome,67.9052
696682,1,16/12/2020 17:00,49.29,France,0.05,13.37,Stationery,Royal Mail,Rome,46.8255
531978,1,20/12/2020 13:00,64.91,Netherlands,0.06,18.48,Apparel,UPS,Rome,61.0154
544874,1,22/12/2020 12:00,46.88,Spain,0.11,19.82,Accessories,DHL,Rome,41.7232
785611,1,29/12/2020 07:00,9.31,United States,0.19,24.44,Stationery,Royal Mail,Rome,7.5411
565806,1,11/01/2021 10:00,29.89,United Kingdom,0.19,17.35,Apparel,Royal Mail,Rome,24.2109
531739,1,12/01/2021 01:00,41.77,Australia,0.06,19.45,Accessories,Royal Mail,Rome,39.2638
324970,1,20/01/2021 01:00,92.51,Belgium,0.22,26.52,Electronics,FedEx,Rome,72.1578
760246,1,25/02/2021 00:00,48.36,Netherlands,0.41,5.91,Stationery,FedEx,Rome,28.5324
462681,1,9/03/2021 08:00,16.81,Netherlands,0.28,28.14,Stationery,FedEx,Rome,12.1032
593377,1,18/03/2021 09:00,73.52,Belgium,0.16,12.3,Stationery,UPS,Rome,61.7568
644475,1,20/03/2021 08:00,59.15,Sweden,0.21,9.85,Accessories,UPS,Rome,46.7285
429457,1,26/03/2021 19:00,25.54,United States,0.35,12.14,Stationery,Royal Mail,Rome,16.601
933510,1,28/04/2021 04:00,21.78,France,0.36,28.63,Accessories,Royal Mail,Rome,13.9392
191679,1,4/05/2021 02:00,41.59,United States,0.34,17.2,Stationery,FedEx,Rome,27.4494
881704,1,18/05/2021 06:00,8.82,Germany,0.22,24.22,Stationery,DHL,Rome,6.8796
487405,1,18/06/2021 05:00,9.92,France,0.23,20.45,Accessories,DHL,Rome,7.6384
800251,1,26/06/2021 04:00,67.8,Netherlands,0.44,7.89,Stationery,DHL,Rome,37.968
527195,1,7/07/2021 03:00,61.04,Netherlands,0.26,18.37,Stationery,DHL,Rome,45.1696
551457,1,13/07/2021 12:00,90.84,Belgium,0.48,19.19,Furniture,DHL,Rome,47.2368
154672,1,15/07/2021 01:00,16.58,Spain,0.06,25.54,Electronics,DHL,Rome,15.5852
313807,1,20/08/2021 02:00,5.97,Italy,0.26,18.76,Furniture,Royal Mail,Rome,4.4178
213693,1,8/09/2021 13:00,67.35,Australia,0.29,17.25,Accessories,UPS,Rome,47.8185
638785,1,12/09/2021 07:00,26.89,United States,0.2,7.76,Apparel,DHL,Rome,21.512
933054,1,13/09/2021 17:00,32.38,United Kingdom,0.34,18.91,Accessories,DHL,Rome,21.3708
951118,1,19/09/2021 02:00,68.97,United States,0.38,16.18,Electronics,UPS,Rome,42.7614
544573,1,20/09/2021 00:00,89.69,Australia,0.47,29.94,Electronics,Royal Mail,Rome,47.5357
584405,1,24/09/2021 06:00,37.17,Norway,0.12,24.14,Stationery,UPS,Rome,32.7096
657813,1,9/10/2021 10:00,62.06,Portugal,0.08,6.95,Stationery,DHL,Rome,57.0952
620551,1,24/10/2021 20:00,63.53,Belgium,0.47,29.01,Furniture,DHL,Rome,33.6709
235669,1,27/10/2021 07:00,32.88,Belgium,0.03,9.95,Stationery,UPS,Rome,31.8936
870878,1,2/11/2021 22:00,92.26,Norway,0.5,13.89,Furniture,Royal Mail,Rome,46.13
329685,1,5/11/2021 04:00,82.73,Portugal,0.34,13.66,Electronics,FedEx,Rome,54.6018
742811,1,21/12/2021 09:00,78.79,United Kingdom,0.2,26.89,Apparel,Royal Mail,Rome,63.032
119416,1,30/12/2021 15:00,83.19,Sweden,0.05,28.09,Accessories,FedEx,Rome,79.0305
965061,1,1/01/2022 15:00,22.41,Sweden,0.22,22.62,Furniture,Royal Mail,Rome,17.4798
553035,1,3/01/2022 00:00,84.24,Italy,0.1,10.71,Furniture,DHL,Rome,75.816
705266,1,3/01/2022 01:00,71.54,Spain,0.13,5.49,Furniture,Royal Mail,Rome,62.2398
170605,1,11/01/2022 13:00,19.78,Portugal,0.46,17.6,Accessories,FedEx,Rome,10.6812
889981,1,28/01/2022 07:00,70.03,Portugal,0.26,17.22,Stationery,Royal Mail,Rome,51.8222
672686,1,30/01/2022 18:00,30.55,Germany,0.25,17.03,Accessories,Royal Mail,Rome,22.9125
136719,1,3/02/2022 22:00,20.36,Belgium,0.05,27.48,Furniture,UPS,Rome,19.342
491731,1,7/02/2022 15:00,7.75,Australia,0,22.72,Stationery,FedEx,Rome,7.75
